"cohort","month_number","retained_customers","cohort_customers","retention_rate"
"2010-09",14,39,243,16.0
"2010-09",15,13,243,5.3
"2010-10",0,377,377,100.0
"2010-10",1,97,377,25.7
"2010-10",2,55,377,14.6
"2010-10",3,47,377,12.5
"2010-10",4,33,377,8.8
"2010-10",5,31,377,8.2
"2010-10",6,49,377,13.0
"2010-10",7,52,377,13.8
"2010-10",8,40,377,10.6
"2010-10",9,35,377,9.3
"2010-10",10,40,377,10.6
"2010-10",11,49,377,13.0
"2010-10",12,72,377,19.1
"2010-10",13,87,377,23.1
"2010-10",14,26,377,6.9
"2010-11",0,325,325,100.0
"2010-11",1,57,325,17.5
"2010-11",2,30,325,9.2
"2010-11",3,31,325,9.5
"2010-11",4,25,325,7.7
"2010-11",5,28,325,8.6
"2010-11",6,42,325,12.9
"2010-11",7,32,325,9.8
"2010-11",8,28,325,8.6
"2010-11",9,29,325,8.9
"2010-11",10,36,325,11.1
"2010-11",11,47,325,14.5
"2010-11",12,83,325,25.5
"2010-11",13,20,325,6.2
"2010-12",0,76,76,100.0
"2010-12",1,7,76,9.2
"2010-12",2,4,76,5.3
"2010-12",3,7,76,9.2
"2010-12",4,9,76,11.8
"2010-12",5,5,76,6.6
"2010-12",6,4,76,5.3
"2010-12",7,7,76,9.2
"2010-12",8,4,76,5.3
"2010-12",9,2,76,2.6
"2010-12",10,7,76,9.2
"2010-12",11,15,76,19.7
"2010-12",12,2,76,2.6
"2011-01",0,71,71,100.0
"2011-01",1,12,71,16.9
"2011-01",2,15,71,21.1
"2011-01",3,14,71,19.7
"2011-01",4,15,71,21.1
"2011-01",5,11,71,15.5
"2011-01",6,11,71,15.5
"2011-01",7,9,71,12.7
"2011-01",8,8,71,11.3
"2011-01",9,15,71,21.1
"2011-01",10,18,71,25.4
"2011-01",11,8,71,11.3
"2011-02",0,124,124,100.0
"2011-02",1,20,124,16.1
"2011-02",2,19,124,15.3
"2011-02",3,23,124,18.5
"2011-02",4,27,124,21.8
"2011-02",5,19,124,15.3
"2011-02",6,19,124,15.3
"2011-02",7,18,124,14.5
"2011-02",8,18,124,14.5
"2011-02",9,22,124,17.7
"2011-02",10,7,124,5.6
"2011-03",0,179,179,100.0
"2011-03",1,33,179,18.4
"2011-03",2,39,179,21.8
"2011-03",3,36,179,20.1
"2011-03",4,40,179,22.3
"2011-03",5,27,179,15.1
"2011-03",6,37,179,20.7
"2011-03",7,36,179,20.1
"2011-03",8,43,179,24.0
"2011-03",9,17,179,9.5
"2011-04",0,106,106,100.0
"2011-04",1,27,106,25.5
"2011-04",2,21,106,19.8
"2011-04",3,21,106,19.8
"2011-04",4,19,106,17.9
"2011-04",5,25,106,23.6
"2011-04",6,19,106,17.9
"2011-04",7,27,106,25.5
"2011-04",8,12,106,11.3
"2011-05",0,111,111,100.0
"2011-05",1,26,111,23.4
"2011-05",2,27,111,24.3
"2011-05",3,18,111,16.2
"2011-05",4,24,111,21.6
"2011-05",5,23,111,20.7
"2011-05",6,29,111,26.1
"2011-05",7,13,111,11.7
"2011-06",0,108,108,100.0
"2011-06",1,25,108,23.1
"2011-06",2,23,108,21.3
"2011-06",3,29,108,26.9
"2011-06",4,22,108,20.4
"2011-06",5,31,108,28.7
"2011-06",6,9,108,8.3
"2011-07",0,102,102,100.0
"2011-07",1,22,102,21.6
"2011-07",2,31,102,30.4
"2011-07",3,28,102,27.5
"2011-07",4,35,102,34.3
"2011-07",5,16,102,15.7
"2011-08",0,106,106,100.0
"2011-08",1,29,106,27.4
"2011-08",2,33,106,31.1
"2011-08",3,28,106,26.4
"2011-08",4,18,106,17.0
"2011-09",0,189,189,100.0
"2011-09",1,51,189,27.0
"2011-09",2,71,189,37.6
"2011-09",3,28,189,14.8
"2011-10",0,221,221,100.0
"2011-10",1,71,221,32.1
"2011-10",2,35,221,15.8
"2011-11",0,191,191,100.0
"2011-11",1,27,191,14.1
"2011-12",0,28,28,100.0
